,DATA,ESTACAO,SVID,S4,ZERO,AZ,EL,ROTI,TEC_R,S_N,DPR,DPC,MIN
95 0.432 0000  307   2 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),95,432,0,307,2,0.00,0.1,0.0,0.0,0.0,0
101 0.015 0000  185  58 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),101,15,0,185,58,0.00,0.1,0.0,0.0,0.0,0
121 0.000 0000   70  46 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),121,0,0,70,46,0.00,0.1,0.0,0.0,0.0,0
123 0.026 0000   83  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),123,26,0,83,16,0.00,0.1,0.0,0.0,0.0,0
136 0.038 0000   76  35 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),136,38,0,76,35,0.00,0.1,0.0,0.0,0.0,0
152 0.694 0000  356  14 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),152,694,0,356,14,0.00,0.1,0.0,0.0,0.0,0
154 0.046 0000  230  28 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),154,46,0,230,28,0.00,0.1,0.0,0.0,0.0,0
161 0.027 0000  346  52 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),161,27,0,346,52,0.00,0.1,0.0,0.0,0.0,0
162 0.675 0000   21  10 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),162,675,0,21,10,0.00,0.1,0.0,0.0,0.0,0
164 0.041 0000  245  27 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),164,41,0,245,27,0.00,0.1,0.0,0.0,0.0,0
166 0.008 0000  188  42 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),166,8,0,188,42,0.00,0.1,0.0,0.0,0.0,0
169 0.113 0000  127   6 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),169,113,0,127,6,0.00,0.1,0.0,0.0,0.0,0
173 0.071 0000  219   6 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),173,71,0,219,6,0.00,0.1,0.0,0.0,0.0,0
175 0.033 0000   76  36 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),175,33,0,76,36,0.00,0.1,0.0,0.0,0.0,0
224 0.019 0000  253  51 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),224,19,0,253,51,0.00,0.1,0.0,0.0,0.0,0
226 0.024 0000   18  31 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),226,24,0,18,31,0.00,0.1,0.0,0.0,0.0,0
227 0.059 0000  129  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-26,Vitória da Conquista (BA),227,59,0,129,16,0.00,0.1,0.0,0.0,0.0,0
5 0.837 0000  264  18 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),5,837,0,264,18,0.00,0.1,0.0,0.0,0.0,0
6 0.347 0000  357   5 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),6,347,0,357,5,0.00,0.1,0.0,0.0,0.0,0
7 0.000 0000  111  30 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),7,0,0,111,30,0.00,0.1,0.0,0.0,0.0,0
9 0.623 0000   35  24 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),9,623,0,35,24,0.00,0.1,0.0,0.0,0.0,0
13 0.000 0000  213  25 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),13,0,0,213,25,0.00,0.1,0.0,0.0,0.0,0
14 0.023 0000  191  53 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),14,23,0,191,53,0.00,0.1,0.0,0.0,0.0,0
15 0.026 0000  217   1 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),15,26,0,217,1,0.00,0.1,0.0,0.0,0.0,0
17 0.020 0000   23  60 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),17,20,0,23,60,0.00,0.1,0.0,0.0,0.0,0
19 0.903 0000  358  41 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),19,903,0,358,41,0.00,0.1,0.0,0.0,0.0,0
21 0.693 0000  294  29 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),21,693,0,294,29,0.00,0.1,0.0,0.0,0.0,0
22 0.025 0000  229  58 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),22,25,0,229,58,0.00,0.1,0.0,0.0,0.0,0
30 0.009 0000  149  44 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),30,9,0,149,44,0.00,0.1,0.0,0.0,0.0,0
38 0.034 0000  215  27 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),38,34,0,215,27,0.00,0.1,0.0,0.0,0.0,0
44 0.060 0000    8  35 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),44,60,0,8,35,0.00,0.1,0.0,0.0,0.0,0
45 0.019 0000  280  72 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),45,19,0,280,72,0.00,0.1,0.0,0.0,0.0,0
47 0.069 0000  161  22 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),47,69,0,161,22,0.00,0.1,0.0,0.0,0.0,0
48 0.024 0000  218  33 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),48,24,0,218,33,0.00,0.1,0.0,0.0,0.0,0
49 0.550 0000  272  10 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),49,550,0,272,10,0.00,0.1,0.0,0.0,0.0,0
57 0.041 0000  102  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),57,41,0,102,16,0.00,0.1,0.0,0.0,0.0,0
58 0.934 0000   52  21 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),58,934,0,52,21,0.00,0.1,0.0,0.0,0.0,0
77 0.037 0000   46  35 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),77,37,0,46,35,0.00,0.1,0.0,0.0,0.0,0
83 0.340 0000   47   6 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),83,340,0,47,6,0.00,0.1,0.0,0.0,0.0,0
89 0.023 0000  211  37 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),89,23,0,211,37,0.00,0.1,0.0,0.0,0.0,0
91 0.014 0000  229  63 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),91,14,0,229,63,0.00,0.1,0.0,0.0,0.0,0
93 0.614 0000  294  28 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),93,614,0,294,28,0.00,0.1,0.0,0.0,0.0,0
96 0.343 0000  359   6 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),96,343,0,359,6,0.00,0.1,0.0,0.0,0.0,0
97 0.029 0000  153  32 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),97,29,0,153,32,0.00,0.1,0.0,0.0,0.0,0
99 0.008 0000  138  81 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),99,8,0,138,81,0.00,0.1,0.0,0.0,0.0,0
121 0.030 0000   70  46 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),121,30,0,70,46,0.00,0.1,0.0,0.0,0.0,0
123 0.068 0000   83  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),123,68,0,83,16,0.00,0.1,0.0,0.0,0.0,0
131 0.393 0000  274   5 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),131,393,0,274,5,0.00,0.1,0.0,0.0,0.0,0
136 0.033 0000   76  35 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),136,33,0,76,35,0.00,0.1,0.0,0.0,0.0,0
159 0.487 0000   18  14 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),159,487,0,18,14,0.00,0.1,0.0,0.0,0.0,0
161 0.022 0000  245  44 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),161,22,0,245,44,0.00,0.1,0.0,0.0,0.0,0
162 0.017 0000  336  56 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),162,17,0,336,56,0.00,0.1,0.0,0.0,0.0,0
166 1.186 0000  252  19 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),166,1.186,0,252,19,0.00,0.1,0.0,0.0,0.0,0
169 0.009 0000   76  37 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),169,9,0,76,37,0.00,0.1,0.0,0.0,0.0,0
170 0.052 0000  123  12 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),170,52,0,123,12,0.00,0.1,0.0,0.0,0.0,0
175 0.930 0000    7  26 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),175,930,0,7,26,0.00,0.1,0.0,0.0,0.0,0
176 0.021 0000  135  23 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),176,21,0,135,23,0.00,0.1,0.0,0.0,0.0,0
224 0.316 0000  218   3 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),224,316,0,218,3,0.00,0.1,0.0,0.0,0.0,0
227 0.016 0000  190  42 0.00  0.1  0.0 0.0 0.0 0,2026-01-27,Vitória da Conquista (BA),227,16,0,190,42,0.00,0.1,0.0,0.0,0.0,0
5 0.665 0000  266  17 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),5,665,0,266,17,0.00,0.1,0.0,0.0,0.0,0
6 0.161 0000  359   6 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),6,161,0,359,6,0.00,0.1,0.0,0.0,0.0,0
7 0.634 0000  108  29 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),7,634,0,108,29,0.00,0.1,0.0,0.0,0.0,0
9 0.628 0000   34  23 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),9,628,0,34,23,0.00,0.1,0.0,0.0,0.0,0
13 0.289 0000  213  27 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),13,289,0,213,27,0.00,0.1,0.0,0.0,0.0,0
14 0.701 0000  189  52 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),14,701,0,189,52,0.00,0.1,0.0,0.0,0.0,0
15 0.398 0000  218   2 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),15,398,0,218,2,0.00,0.1,0.0,0.0,0.0,0
17 0.034 0000   25  62 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),17,34,0,25,62,0.00,0.1,0.0,0.0,0.0,0
19 0.033 0000  358  43 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),19,33,0,358,43,0.00,0.1,0.0,0.0,0.0,0
21 0.355 0000  296  29 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),21,355,0,296,29,0.00,0.1,0.0,0.0,0.0,0
22 0.413 0000  226  58 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),22,413,0,226,58,0.00,0.1,0.0,0.0,0.0,0
30 0.030 0000  146  45 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),30,30,0,146,45,0.00,0.1,0.0,0.0,0.0,0
38 0.562 0000  285  69 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),38,562,0,285,69,0.00,0.1,0.0,0.0,0.0,0
39 0.222 0000  216  32 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),39,222,0,216,32,0.00,0.1,0.0,0.0,0.0,0
45 0.600 0000    8  32 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),45,600,0,8,32,0.00,0.1,0.0,0.0,0.0,0
48 0.070 0000  158  20 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),48,70,0,158,20,0.00,0.1,0.0,0.0,0.0,0
49 0.887 0000  220  32 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),49,887,0,220,32,0.00,0.1,0.0,0.0,0.0,0
50 0.654 0000  266  13 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),50,654,0,266,13,0.00,0.1,0.0,0.0,0.0,0
58 0.105 0000  108  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),58,105,0,108,16,0.00,0.1,0.0,0.0,0.0,0
59 0.498 0000   46  21 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),59,498,0,46,21,0.00,0.1,0.0,0.0,0.0,0
60 0.874 0000    9   6 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),60,874,0,9,6,0.00,0.1,0.0,0.0,0.0,0
72 0.418 0000  170  49 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),72,418,0,170,49,0.00,0.1,0.0,0.0,0.0,0
73 0.119 0000   50  55 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),73,119,0,50,55,0.00,0.1,0.0,0.0,0.0,0
75 0.761 0000   40   5 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),75,761,0,40,5,0.00,0.1,0.0,0.0,0.0,0
77 0.740 0000  215  15 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),77,740,0,215,15,0.00,0.1,0.0,0.0,0.0,0
78 0.578 0000  198  67 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),78,578,0,198,67,0.00,0.1,0.0,0.0,0.0,0
85 0.245 0000  343   3 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),85,245,0,343,3,0.00,0.1,0.0,0.0,0.0,0
97 0.560 0000  301  12 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),97,560,0,301,12,0.00,0.1,0.0,0.0,0.0,0
100 0.835 0000  266  53 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),100,835,0,266,53,0.00,0.1,0.0,0.0,0.0,0
104 0.396 0000   29   8 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),104,396,0,29,8,0.00,0.1,0.0,0.0,0.0,0
121 0.492 0000   70  46 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),121,492,0,70,46,0.00,0.1,0.0,0.0,0.0,0
123 0.125 0000   83  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),123,125,0,83,16,0.00,0.1,0.0,0.0,0.0,0
136 0.586 0000   76  35 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),136,586,0,76,35,0.00,0.1,0.0,0.0,0.0,0
159 0.923 0000  326  57 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),159,923,0,326,57,0.00,0.1,0.0,0.0,0.0,0
160 0.809 0000   13  22 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),160,809,0,13,22,0.00,0.1,0.0,0.0,0.0,0
162 0.743 0000  240  38 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),162,743,0,240,38,0.00,0.1,0.0,0.0,0.0,0
167 0.071 0000  120  13 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),167,71,0,120,13,0.00,0.1,0.0,0.0,0.0,0
169 0.819 0000    6  26 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),169,819,0,6,26,0.00,0.1,0.0,0.0,0.0,0
170 0.576 0000   66  40 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),170,576,0,66,40,0.00,0.1,0.0,0.0,0.0,0
176 0.203 0000  203  41 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),176,203,0,203,41,0.00,0.1,0.0,0.0,0.0,0
227 0.701 0000  253  18 0.00  0.1  0.0 0.0 0.0 0,2026-01-28,Vitória da Conquista (BA),227,701,0,253,18,0.00,0.1,0.0,0.0,0.0,0
5 0.000 0000  268  17 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),5,0,0,268,17,0.00,0.1,0.0,0.0,0.0,0
6 0.562 0000    0   7 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),6,562,0,0,7,0.00,0.1,0.0,0.0,0.0,0
7 0.039 0000  106  29 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),7,39,0,106,29,0.00,0.1,0.0,0.0,0.0,0
9 0.867 0000   33  21 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),9,867,0,33,21,0.00,0.1,0.0,0.0,0.0,0
13 0.000 0000  213  29 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),13,0,0,213,29,0.00,0.1,0.0,0.0,0.0,0
14 0.000 0000  186  51 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),14,0,0,186,51,0.00,0.1,0.0,0.0,0.0,0
15 0.186 0000  218   3 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),15,186,0,218,3,0.00,0.1,0.0,0.0,0.0,0
17 0.008 0000   28  64 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),17,8,0,28,64,0.00,0.1,0.0,0.0,0.0,0
19 0.018 0000  359  45 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),19,18,0,359,45,0.00,0.1,0.0,0.0,0.0,0
21 0.024 0000  298  28 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),21,24,0,298,28,0.00,0.1,0.0,0.0,0.0,0
22 0.014 0000  222  57 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),22,14,0,222,57,0.00,0.1,0.0,0.0,0.0,0
30 0.000 0000  144  45 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),30,0,0,144,45,0.00,0.1,0.0,0.0,0.0,0
38 0.785 0000    6  30 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),38,785,0,6,30,0.00,0.1,0.0,0.0,0.0,0
39 0.013 0000  303  71 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),39,13,0,303,71,0.00,0.1,0.0,0.0,0.0,0
40 0.023 0000  216  30 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),40,23,0,216,30,0.00,0.1,0.0,0.0,0.0,0
49 0.050 0000  159  21 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),49,50,0,159,21,0.00,0.1,0.0,0.0,0.0,0
50 0.022 0000  211  32 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),50,22,0,211,32,0.00,0.1,0.0,0.0,0.0,0
51 0.065 0000  267  10 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),51,65,0,267,10,0.00,0.1,0.0,0.0,0.0,0
59 0.060 0000  102  18 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),59,60,0,102,18,0.00,0.1,0.0,0.0,0.0,0
60 0.470 0000   60  23 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),60,470,0,60,23,0.00,0.1,0.0,0.0,0.0,0
61 0.507 0000    1   4 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),61,507,0,1,4,0.00,0.1,0.0,0.0,0.0,0
74 0.270 0000   42  23 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),74,270,0,42,23,0.00,0.1,0.0,0.0,0.0,0
75 0.030 0000  210  47 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),75,30,0,210,47,0.00,0.1,0.0,0.0,0.0,0
76 0.021 0000   47  49 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),76,21,0,47,49,0.00,0.1,0.0,0.0,0.0,0
79 0.023 0000   65  74 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),79,23,0,65,74,0.00,0.1,0.0,0.0,0.0,0
80 0.406 0000   36   9 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),80,406,0,36,9,0.00,0.1,0.0,0.0,0.0,0
81 0.538 0000   10   8 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),81,538,0,10,8,0.00,0.1,0.0,0.0,0.0,0
95 0.010 0000  283  39 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),95,10,0,283,39,0.00,0.1,0.0,0.0,0.0,0
101 0.051 0000  147  21 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),101,51,0,147,21,0.00,0.1,0.0,0.0,0.0,0
121 0.000 0000   70  46 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),121,0,0,70,46,0.00,0.1,0.0,0.0,0.0,0
123 0.575 0000   83  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),123,575,0,83,16,0.00,0.1,0.0,0.0,0.0,0
136 0.000 0000   76  35 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),136,0,0,76,35,0.00,0.1,0.0,0.0,0.0,0
159 0.036 0000  237  34 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),159,36,0,237,34,0.00,0.1,0.0,0.0,0.0,0
160 0.013 0000  305  59 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),160,13,0,305,59,0.00,0.1,0.0,0.0,0.0,0
167 0.039 0000   62  39 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),167,39,0,62,39,0.00,0.1,0.0,0.0,0.0,0
168 0.033 0000  108  23 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),168,33,0,108,23,0.00,0.1,0.0,0.0,0.0,0
170 1.001 0000  359  22 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),170,1.001,0,359,22,0.00,0.1,0.0,0.0,0.0,0
172 0.481 0000   11  23 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),172,481,0,11,23,0.00,0.1,0.0,0.0,0.0,0
176 0.054 0000  259  11 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),176,54,0,259,11,0.00,0.1,0.0,0.0,0.0,0
177 0.047 0000  142  29 0.00  0.1  0.0 0.0 0.0 0,2026-01-29,Vitória da Conquista (BA),177,47,0,142,29,0.00,0.1,0.0,0.0,0.0,0
1 0.205 0000   92   1 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),1,205,0,92,1,0.00,0.1,0.0,0.0,0.0,0
5 0.068 0000  270  17 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),5,68,0,270,17,0.00,0.1,0.0,0.0,0.0,0
6 0.128 0000    2   7 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),6,128,0,2,7,0.00,0.1,0.0,0.0,0.0,0
7 0.000 0000  104  28 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),7,0,0,104,28,0.00,0.1,0.0,0.0,0.0,0
9 0.000 0000   32  19 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),9,0,0,32,19,0.00,0.1,0.0,0.0,0.0,0
13 0.039 0000  213  30 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),13,39,0,213,30,0.00,0.1,0.0,0.0,0.0,0
14 0.000 0000  184  50 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),14,0,0,184,50,0.00,0.1,0.0,0.0,0.0,0
15 0.000 0000  218   5 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),15,0,0,218,5,0.00,0.1,0.0,0.0,0.0,0
17 0.000 0000   31  66 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),17,0,0,31,66,0.00,0.1,0.0,0.0,0.0,0
19 0.000 0000  359  47 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),19,0,0,359,47,0.00,0.1,0.0,0.0,0.0,0
21 0.000 0000  300  27 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),21,0,0,300,27,0.00,0.1,0.0,0.0,0.0,0
22 0.000 0000  219  56 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),22,0,0,219,56,0.00,0.1,0.0,0.0,0.0,0
30 0.000 0000  141  45 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),30,0,0,141,45,0.00,0.1,0.0,0.0,0.0,0
39 0.024 0000    9  26 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),39,24,0,9,26,0.00,0.1,0.0,0.0,0.0,0
40 0.009 0000  296  69 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),40,9,0,296,69,0.00,0.1,0.0,0.0,0.0,0
41 0.038 0000  218  34 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),41,38,0,218,34,0.00,0.1,0.0,0.0,0.0,0
50 0.055 0000  153  18 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),50,55,0,153,18,0.00,0.1,0.0,0.0,0.0,0
51 0.017 0000  215  32 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),51,17,0,215,32,0.00,0.1,0.0,0.0,0.0,0
52 0.128 0000  265  12 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),52,128,0,265,12,0.00,0.1,0.0,0.0,0.0,0
54 0.114 0000    2   3 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),54,114,0,2,3,0.00,0.1,0.0,0.0,0.0,0
